,Feature,Contribution
241,"_fft_coefficient__attr_""abs""__coeff_62",0.19667319478387008
237,"_fft_coefficient__attr_""abs""__coeff_57",0.19660999826314635
11,"_agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.19658200505389503
104,"_change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",0.19642451852962908
228,"_fft_coefficient__attr_""abs""__coeff_46",0.1963378731688494
215,"_fft_coefficient__attr_""abs""__coeff_3",0.1956646692031477
310,"_fft_coefficient__attr_""real""__coeff_86",0.19544678421686265
295,"_fft_coefficient__attr_""imag""__coeff_97",0.19543167041699355
213,"_fft_coefficient__attr_""abs""__coeff_28",0.19494486148009865
121,"_change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.1948315580754108
255,"_fft_coefficient__attr_""abs""__coeff_88",0.1947960564888436
119,"_change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.1942788832051554
50,_approximate_entropy__m_2__r_0.9,0.19405676748037137
204,"_fft_coefficient__attr_""abs""__coeff_15",0.1939263910609564
218,"_fft_coefficient__attr_""abs""__coeff_33",0.19387629998545733
210,"_fft_coefficient__attr_""abs""__coeff_21",0.19381329960952537
207,"_fft_coefficient__attr_""abs""__coeff_18",0.19380379999532316
216,"_fft_coefficient__attr_""abs""__coeff_30",0.1937922045060408
354,_quantile__q_0.3,0.1937840906596071
256,"_fft_coefficient__attr_""abs""__coeff_9",0.19343554050394296
219,"_fft_coefficient__attr_""abs""__coeff_36",0.19333270903296998
201,"_fft_coefficient__attr_""abs""__coeff_12",0.19317208121556873
87,"_change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",0.19259363036977462
239,"_fft_coefficient__attr_""abs""__coeff_60",0.19217533398408473
246,"_fft_coefficient__attr_""abs""__coeff_72",0.19215592919369817
252,"_fft_coefficient__attr_""abs""__coeff_84",0.19203547283672956
113,"_change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.19187170303203452
108,"_change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",0.19171657585194074
127,"_change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",0.19164917500509254
112,"_change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",0.19161100321319116
105,"_change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",0.19160386394070814
123,"_change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",0.1915892347103379
16,"_agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.1915558486985145
128,"_change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.19153308470351674
116,"_change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.19151124002946068
120,"_change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",0.19148105455550993
131,"_change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",0.1914610906647989
313,_friedrich_coefficients__coeff_0__m_3__r_30,0.19140056180305481
371,_spkt_welch_density__coeff_8,0.19134916817854639
314,_friedrich_coefficients__coeff_2__m_3__r_30,0.19131643140709273
222,"_fft_coefficient__attr_""abs""__coeff_39",0.19115472641972703
247,"_fft_coefficient__attr_""abs""__coeff_73",0.1908872338950622
70,_binned_entropy__max_bins_10,0.1876429411515331
4,"_agg_autocorrelation__f_agg_""var""__maxlag_40",0.18514848377123072
55,_ar_coefficient__coeff_3__k_10,0.18485902107989366
299,"_fft_coefficient__attr_""real""__coeff_12",0.1830418372032319
45,"_agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",0.18199026882978314
345,_partial_autocorrelation__lag_4,0.18093327123507708
25,"_agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",0.18056760174951084
19,"_agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.17877404423270654
28,"_agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",0.17755791418447733
17,"_agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.1767182232735388
322,_index_mass_quantile__q_0.9,0.17574662778692685
284,"_fft_coefficient__attr_""imag""__coeff_4",0.17512813715036785
338,_number_peaks__n_10,0.17471472798492835
168,"_cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)",0.1687134937853516
347,_partial_autocorrelation__lag_6,0.168510651814991
268,"_fft_coefficient__attr_""angle""__coeff_5",0.16764882788054963
163,"_cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",0.16541844613599946
103,"_change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.16536531753591488
269,"_fft_coefficient__attr_""angle""__coeff_6",0.16423972116431368
62,_autocorrelation__lag_2,0.16293529292369216
30,"_agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",0.16240986939315866
321,_index_mass_quantile__q_0.8,0.15777660909745536
20,"_agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",0.15737741241827424
54,_ar_coefficient__coeff_2__k_10,0.15604878536501435
319,_index_mass_quantile__q_0.6,0.15538813231169468
21,"_agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",0.15532458344221892
271,"_fft_coefficient__attr_""angle""__coeff_91",0.15357888424355426
339,_number_peaks__n_3,0.15271550861410477
167,"_cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",0.15028394825465144
379,_value_count__value_0,0.14901625725478632
366,_ratio_beyond_r_sigma__r_3,0.14635265144327678
309,"_fft_coefficient__attr_""real""__coeff_81",0.14596258751146984
275,"_fft_coefficient__attr_""imag""__coeff_11",0.14595250492321563
77,"_change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",0.14514885303842903
84,"_change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.1426278774186861
340,_number_peaks__n_5,0.1425073636154716
